IPM_REGION,OEO_REGION
ERC_REST,4
ERC_WEST,4
FRCC,7
MIS_AMSO,5
MIS_AR,5
MIS_D_MS,7
MIS_IA,6
MIS_IL,6
MIS_INKY,6
MIS_LA,5
MIS_LMI,6
MIS_MAPP,6
MIS_MIDA,6
MIS_MNWI,6
MIS_MO,5
MIS_WOTA,5
MIS_WUMS,6
NENGREST,9
NENG_CT,9
NENG_ME,9
NY_Z_A,9
NY_Z_B,9
NY_Z_C&E,9
NY_Z_D,9
NY_Z_F,9
NY_Z_G-I,9
NY_Z_J,9
NY_Z_K,9
PJM_AP,8
PJM_ATSI,8
PJM_COMD,6
PJM_Dom,8
PJM_EMAC,8
PJM_PENE,8
PJM_SMAC,8
PJM_WMAC,8
PJM_West,8
SPP_N,5
SPP_NEBR,5
SPP_SPS,5
SPP_WAUE,5
SPP_WEST,5
S_C_KY,7
S_C_TVA,7
S_D_AECI,5
S_SOU,7
S_VACA,7
WECC_AZ,3
WECC_CO,3
WECC_ID,2
WECC_IID,1
WECC_MT,2
WECC_NM,3
WECC_NNV,3
WECC_PNW,2
WECC_SCE,1
WECC_SNV,3
WECC_UT,3
WECC_WY,2
WEC_BANC,1
WEC_CALN,1
WEC_LADW,1
WEC_SDGE,1
